iter	Logloss
0	0.6815251975
1	0.670475115
2	0.6606982297
3	0.6509959632
4	0.6403636965
5	0.6316815607
6	0.6228835684
7	0.6161358149
8	0.6084271547
9	0.6009260824
10	0.5947383782
11	0.5873995934
12	0.5810105697
13	0.5764005581
14	0.5705172215
15	0.5651641965
16	0.5592788556
17	0.5550142983
18	0.5504613953
19	0.5469719739
20	0.5434451156
21	0.5392959822
22	0.535954453
23	0.5316920807
24	0.5281175033
25	0.5247573603
26	0.5213256793
27	0.5187340938
28	0.5160586889
29	0.5131646228
30	0.5098668051
31	0.5074896219
32	0.5048950652
33	0.502321573
34	0.4998241139
35	0.4979690377
36	0.4958050434
37	0.4940182512
38	0.4917515721
39	0.4896816971
40	0.4875731423
41	0.4851603678
42	0.4830717187
43	0.481394329
44	0.4798459331
45	0.4780756853
46	0.476832565
47	0.475274341
48	0.4736805841
49	0.4725979508
50	0.4710762149
51	0.4691222512
52	0.467904901
53	0.4661067865
54	0.4647466255
55	0.4632190085
56	0.4619620724
57	0.4603733131
58	0.4588487729
59	0.4576229442
60	0.45619854
61	0.4548545099
62	0.4538413657
63	0.452747241
64	0.4519591264
65	0.4510117439
66	0.4500322649
67	0.449049373
68	0.448300284
69	0.4473472396
70	0.4461915284
71	0.4454090776
72	0.4444770606
73	0.4434524024
74	0.4423847697
75	0.4414008292
76	0.4406802625
77	0.4396416379
78	0.4387977268
79	0.4379942266
80	0.4374645747
81	0.4370064424
82	0.4356477657
83	0.43491566
84	0.4341168426
85	0.4333520907
86	0.4326550995
87	0.4318177254
88	0.4310896654
89	0.4305047814
90	0.4295352051
91	0.4288706756
92	0.4280268973
93	0.4274886102
94	0.426782311
95	0.4260311054
96	0.4255264357
97	0.4247081215
98	0.4240803119
99	0.4232082812
100	0.4225382176
101	0.422182449
102	0.4217092897
103	0.4210743088
104	0.4207342019
105	0.4203916854
106	0.4197953542
107	0.4192678981
108	0.4188734727
109	0.4184124269
110	0.4179299267
111	0.4175767226
112	0.4168519628
113	0.4162765839
114	0.4157566828
115	0.4154949879
116	0.4149821289
117	0.4146162814
118	0.4141442288
119	0.4136944498
