iter	Passed	Remaining
0	54	54105
1	59	29623
2	64	21390
3	69	17230
4	74	14727
5	78	13030
6	83	11819
7	87	10883
8	92	10165
9	96	9584
10	101	9098
11	105	8694
12	109	8326
13	113	8024
14	118	7767
15	122	7537
16	127	7343
17	131	7188
18	136	7028
19	140	6877
20	144	6741
21	148	6617
22	153	6506
23	157	6397
24	161	6293
25	165	6201
26	169	6116
27	174	6040
28	178	5964
29	182	5890
30	186	5825
31	190	5765
32	194	5708
33	198	5651
34	203	5600
35	207	5550
36	211	5512
37	216	5477
38	220	5439
39	225	5401
40	229	5367
41	233	5328
42	237	5295
43	241	5255
44	246	5221
45	250	5188
46	254	5157
47	258	5128
48	262	5101
49	267	5075
50	271	5048
51	275	5023
52	280	5003
53	284	4975
54	287	4939
55	290	4904
56	294	4869
57	297	4831
58	300	4796
59	303	4762
60	307	4729
61	310	4698
62	313	4666
63	317	4636
64	320	4608
65	323	4580
66	326	4551
67	330	4525
68	333	4498
69	336	4473
70	340	4449
71	343	4424
72	347	4409
73	350	4387
74	353	4364
75	357	4342
76	360	4320
77	363	4299
78	366	4278
79	370	4257
80	373	4239
81	377	4221
82	380	4200
83	383	4182
84	386	4163
85	390	4146
86	393	4128
87	396	4111
88	399	4094
89	403	4077
90	406	4059
91	409	4043
92	413	4028
93	416	4012
94	419	3998
95	422	3980
96	425	3965
97	429	3950
98	432	3936
99	435	3921
100	439	3907
101	442	3894
102	445	3880
103	448	3867
104	452	3854
105	455	3840
106	458	3827
107	461	3814
108	465	3802
109	468	3790
110	471	3778
111	474	3765
112	478	3753
113	481	3742
114	484	3731
115	488	3719
116	491	3708
117	494	3697
118	497	3686
119	501	3675
120	504	3664
121	507	3654
122	511	3644
123	514	3634
124	517	3624
125	521	3614
126	524	3604
127	527	3594
128	531	3586
129	535	3580
130	538	3572
131	542	3565
132	545	3557
133	549	3548
134	552	3539
135	555	3531
136	559	3524
137	563	3516
138	566	3508
139	569	3500
140	573	3492
141	576	3484
142	580	3477
143	583	3469
144	587	3462
145	590	3455
146	594	3447
147	597	3439
148	601	3433
149	604	3425
150	607	3417
151	611	3409
152	614	3403
153	618	3396
154	621	3388
155	624	3380
156	628	3372
157	631	3364
158	634	3356
159	637	3348
160	641	3340
161	644	3332
162	647	3325
163	651	3318
164	654	3313
165	658	3307
166	661	3300
167	665	3294
168	668	3288
169	672	3281
170	675	3275
171	679	3269
172	682	3263
173	686	3257
174	689	3252
175	693	3246
176	696	3240
177	700	3233
178	703	3226
179	707	3221
180	710	3214
181	713	3208
182	717	3201
183	720	3195
184	723	3188
185	727	3182
186	730	3175
187	733	3169
188	737	3163
189	740	3157
190	743	3151
191	747	3144
192	750	3138
193	754	3132
194	757	3126
195	760	3119
196	763	3113
197	767	3107
198	770	3102
199	773	3095
200	777	3090
201	780	3084
202	784	3078
203	787	3072
204	790	3066
205	793	3060
206	797	3054
207	800	3048
208	803	3042
209	807	3036
210	810	3030
211	813	3024
212	816	3018
213	820	3012
214	823	3007
215	826	3001
216	830	2995
217	833	2989
218	836	2984
219	840	2978
220	843	2973
221	846	2967
222	850	2962
223	853	2957
224	856	2951
225	860	2945
226	863	2940
227	867	2936
228	870	2930
229	873	2924
230	877	2919
231	880	2914
232	883	2908
233	886	2903
234	890	2897
235	893	2891
236	896	2886
237	899	2881
238	903	2876
239	906	2870
240	909	2865
241	913	2860
242	916	2855
243	919	2850
244	923	2845
245	926	2839
246	929	2834
247	932	2828
248	936	2823
249	939	2819
250	942	2813
251	946	2808
252	949	2803
253	952	2798
254	956	2794
255	959	2789
256	963	2784
257	966	2779
258	969	2774
259	973	2769
260	976	2764
261	979	2759
262	982	2754
263	985	2748
264	989	2743
265	992	2738
266	995	2733
267	998	2728
268	1002	2723
269	1005	2718
270	1008	2713
271	1011	2708
272	1015	2702
273	1018	2697
274	1021	2692
275	1024	2687
276	1027	2682
277	1031	2678
278	1034	2673
279	1037	2668
280	1041	2663
281	1044	2659
282	1047	2654
283	1050	2649
284	1054	2644
285	1057	2640
286	1060	2635
287	1063	2630
288	1067	2625
289	1070	2620
290	1073	2616
291	1077	2611
292	1080	2606
293	1083	2601
294	1086	2596
295	1089	2591
296	1092	2586
297	1096	2582
298	1099	2577
299	1102	2572
300	1105	2568
301	1109	2563
302	1112	2559
303	1116	2555
304	1119	2550
305	1122	2545
306	1125	2541
307	1129	2536
308	1132	2532
309	1135	2528
310	1139	2524
311	1142	2520
312	1146	2516
313	1150	2512
314	1153	2508
315	1156	2504
316	1160	2499
317	1163	2496
318	1167	2492
319	1171	2488
320	1174	2484
321	1178	2480
322	1181	2476
323	1184	2471
324	1188	2468
325	1191	2464
326	1195	2459
327	1198	2455
328	1201	2451
329	1205	2446
330	1208	2442
331	1211	2437
332	1214	2433
333	1218	2428
334	1221	2424
335	1224	2420
336	1228	2415
337	1231	2411
338	1234	2407
339	1238	2403
340	1241	2399
341	1244	2394
342	1248	2390
343	1251	2386
344	1254	2382
345	1257	2377
346	1261	2373
347	1264	2368
348	1267	2364
349	1270	2359
350	1273	2355
351	1277	2351
352	1280	2346
353	1283	2342
354	1286	2338
355	1290	2334
356	1293	2329
357	1296	2325
358	1299	2320
359	1303	2316
360	1306	2312
361	1309	2308
362	1313	2304
363	1316	2300
364	1319	2295
365	1322	2291
366	1326	2287
367	1329	2282
368	1332	2278
369	1335	2274
370	1339	2270
371	1342	2266
372	1345	2261
373	1348	2257
374	1352	2253
375	1355	2249
376	1358	2245
377	1361	2241
378	1365	2236
379	1368	2233
380	1372	2229
381	1375	2225
382	1379	2221
383	1382	2217
384	1385	2213
385	1388	2208
386	1391	2204
387	1395	2200
388	1398	2196
389	1401	2192
390	1405	2188
391	1408	2184
392	1411	2180
393	1414	2175
394	1418	2171
395	1421	2167
396	1424	2164
397	1428	2160
