,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,NumCabinMates,Deck,NumCabin,Side
0,2,False,1,39.0,False,0.0,0.0,0.0,0.0,0.0,False,1,2,0,2
1,1,False,1,24.0,False,109.0,9.0,25.0,549.0,44.0,True,1,6,0,1
2,2,False,1,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,2,1,0,1
3,2,False,1,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,2,1,0,1
4,1,False,1,16.0,False,303.0,70.0,151.0,565.0,2.0,True,1,6,1,1
5,1,False,3,44.0,False,0.0,483.0,0.0,291.0,0.0,True,1,6,0,2
6,1,False,1,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,1,6,2,1
7,1,True,1,28.0,False,0.0,0.0,0.0,0.0,0.0,True,1,7,0,1
8,1,False,1,35.0,False,0.0,785.0,17.0,216.0,0.0,True,1,6,3,1
9,2,True,2,14.0,False,0.0,0.0,0.0,0.0,0.0,True,3,2,1,2
10,2,True,1,34.0,False,0.0,0.0,0.0,0.0,0.0,True,3,2,1,2
11,2,False,2,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,3,2,1,2
12,3,False,1,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,1,6,1,2
13,1,False,1,48.0,False,719.0,1.0,65.0,0.0,24.0,False,1,7,1,1
14,1,False,1,28.0,False,8.0,974.0,12.0,2.0,7.0,True,1,6,2,2
15,1,False,1,31.0,False,32.0,0.0,876.0,0.0,0.0,False,0,6,427.0,1
16,3,False,2,27.0,False,1286.0,122.0,0.0,0.0,0.0,False,1,6,3,2
17,1,False,2,24.0,False,0.0,1.0,0.0,0.0,637.0,False,1,6,4,2
18,3,True,1,45.0,False,0.0,0.0,0.0,0.0,0.0,True,1,6,5,2
19,1,False,1,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1,7,0,2
20,1,False,2,14.0,False,412.0,0.0,1.0,0.0,679.0,False,1,6,6,2
21,1,True,1,1.0,False,0.0,0.0,0.0,0.0,0.0,False,6,5,0,1
22,1,True,2,49.0,False,0.0,0.0,0.0,0.0,0.0,False,6,5,0,1
23,1,True,2,29.0,False,0.0,0.0,0.0,0.0,0.0,False,6,5,0,1
24,1,False,1,10.0,False,0.0,0.0,0.0,0.0,0.0,True,6,5,0,1
25,1,True,3,1.0,False,0.0,0.0,0.0,0.0,0.0,False,6,5,0,1
26,1,False,1,7.0,False,0.0,0.0,0.0,0.0,0.0,False,6,5,0,1
27,3,False,1,21.0,False,980.0,2.0,69.0,0.0,0.0,False,1,4,0,2
28,2,True,1,62.0,False,0.0,0.0,0.0,0.0,0.0,True,1,3,2,1
29,1,False,1,15.0,False,0.0,225.0,0.0,998.0,0.0,False,1,6,6,1
30,2,False,2,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,1,3,0,2
31,3,False,1,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,1,6,8,2
32,1,False,1,32.0,False,0.0,850.0,81.0,437.0,453.0,False,1,7,4,1
33,3,False,1,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,3,6,9,2
34,3,False,1,2.0,False,0.0,0.0,0.0,0.0,0.0,True,3,6,9,2
35,3,False,1,20.0,False,0.0,0.0,1750.0,990.0,0.0,True,3,6,9,2
36,2,True,2,28.0,False,0.0,0.0,0.0,0.0,0.0,True,1,4,1,1
37,3,False,2,23.0,False,784.0,964.0,0.0,951.0,0.0,False,1,4,1,2
38,1,False,2,15.0,False,0.0,492.0,48.0,20.0,401.0,False,1,6,8,1
39,1,False,2,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,1,6,10,1
40,1,True,2,30.0,False,0.0,0.0,0.0,0.0,0.0,False,1,7,1,2
41,1,True,1,17.0,False,0.0,0.0,0.0,0.0,0.0,True,1,7,2,2
42,2,False,1,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,1,2,3,2
43,1,True,1,55.0,False,0.0,0.0,0.0,0.0,0.0,False,3,7,3,2
44,1,True,2,4.0,False,0.0,0.0,0.0,0.0,0.0,True,3,7,3,2
45,1,True,3,21.0,False,0.0,0.0,0.0,0.0,0.0,True,3,7,3,2
46,3,False,1,21.0,False,970.0,0.0,180.0,0.0,64.0,False,2,6,10,2
47,3,True,1,19.0,False,0.0,0.0,0.0,0.0,0.0,True,2,6,10,2
48,1,False,2,35.0,False,790.0,0.0,0.0,0.0,0.0,False,1,5,1,1
