iter	Passed	Remaining
0	53	53304
1	59	29526
2	64	21332
3	69	17197
4	74	14744
5	78	13043
6	82	11694
7	85	10639
8	89	9903
9	93	9235
10	95	8606
11	98	8108
12	101	7715
13	105	7414
14	107	7088
15	110	6791
16	112	6516
17	115	6283
18	117	6083
19	120	5908
20	123	5762
21	126	5628
22	129	5496
23	132	5374
24	135	5267
25	138	5171
26	140	5072
27	143	4969
28	145	4873
29	148	4790
30	150	4716
31	153	4643
32	156	4585
33	159	4523
34	161	4460
35	164	4397
36	166	4342
37	169	4285
38	171	4229
39	173	4175
40	176	4124
41	178	4072
42	181	4029
43	183	3981
44	185	3936
45	188	3900
46	190	3857
47	192	3815
48	195	3785
49	197	3748
50	199	3718
51	202	3686
52	204	3654
53	206	3626
54	209	3602
55	212	3584
56	215	3565
57	218	3545
58	220	3520
59	223	3494
60	225	3469
61	227	3443
62	229	3419
63	232	3393
64	234	3375
65	236	3353
66	239	3333
67	241	3315
68	244	3299
69	247	3286
70	250	3273
71	253	3260
72	255	3242
73	257	3225
74	260	3207
75	262	3189
76	264	3175
77	267	3162
78	270	3150
79	272	3137
80	275	3122
81	277	3106
82	279	3089
83	282	3077
84	284	3066
85	288	3060
86	290	3046
87	292	3034
88	295	3023
89	297	3009
90	300	2999
91	302	2985
92	304	2973
93	307	2963
94	310	2953
95	312	2943
96	315	2932
97	317	2919
98	319	2906
99	321	2894
100	323	2882
101	326	2873
102	328	2862
103	331	2851
104	333	2844
105	336	2836
106	338	2829
107	341	2819
108	343	2808
109	345	2799
110	348	2788
111	350	2777
112	352	2769
113	355	2760
114	357	2751
115	359	2741
116	362	2734
117	364	2725
118	366	2715
119	369	2707
120	371	2698
121	373	2689
122	375	2680
123	378	2672
124	380	2664
125	383	2656
126	385	2649
127	387	2642
128	390	2635
129	392	2628
130	395	2622
131	397	2615
132	400	2608
133	402	2602
134	405	2595
135	407	2587
136	409	2581
137	411	2573
138	414	2567
139	416	2560
140	419	2553
141	421	2547
142	423	2540
143	426	2534
144	428	2528
145	431	2521
146	433	2515
147	435	2509
148	438	2503
149	440	2497
150	443	2491
151	445	2485
152	447	2479
153	450	2473
154	452	2466
155	454	2461
156	457	2455
157	459	2449
158	462	2443
159	464	2438
160	466	2432
161	469	2426
162	471	2422
163	474	2417
164	476	2411
165	479	2406
166	481	2401
167	483	2396
168	486	2391
169	488	2386
170	491	2381
171	493	2375
172	495	2370
173	498	2364
174	500	2360
175	503	2355
176	505	2350
177	508	2346
178	510	2341
179	512	2336
180	515	2331
181	517	2326
182	520	2322
183	522	2317
184	525	2314
185	527	2309
186	530	2305
187	532	2301
188	535	2296
189	537	2292
190	539	2287
191	542	2281
192	544	2277
193	546	2272
194	549	2267
195	551	2263
196	554	2259
197	556	2255
198	559	2251
199	561	2246
200	564	2243
201	566	2239
202	569	2234
203	571	2230
204	573	2225
205	576	2221
206	578	2216
207	580	2212
208	583	2208
209	585	2203
210	588	2199
211	590	2194
212	592	2190
213	595	2186
214	597	2182
215	600	2178
216	602	2174
217	605	2170
218	607	2166
219	610	2162
220	612	2158
221	614	2154
222	617	2150
223	619	2146
224	622	2142
225	624	2138
226	626	2134
227	629	2130
228	631	2126
229	634	2122
230	636	2118
231	638	2114
232	641	2111
233	643	2107
234	646	2103
235	648	2100
236	651	2095
237	653	2092
238	655	2088
239	658	2084
240	660	2080
241	663	2077
242	665	2073
243	668	2070
244	670	2066
245	673	2063
246	675	2059
247	677	2055
248	680	2052
249	682	2048
250	685	2044
251	687	2040
252	689	2036
253	692	2033
254	694	2029
255	697	2025
256	699	2022
257	701	2018
258	704	2015
259	706	2011
260	709	2007
261	711	2004
262	713	2000
263	716	1996
264	718	1993
265	721	1990
266	723	1986
267	726	1983
268	728	1979
269	730	1975
270	733	1972
271	735	1969
272	738	1966
273	741	1963
274	743	1960
275	746	1957
276	748	1954
277	751	1951
278	753	1947
279	756	1944
280	758	1940
281	760	1937
282	763	1933
283	765	1929
284	767	1926
285	770	1923
286	772	1919
287	775	1916
288	777	1913
289	779	1909
290	782	1905
291	784	1902
292	786	1898
293	789	1895
294	791	1892
295	794	1889
296	796	1885
297	799	1882
298	801	1879
299	803	1875
300	806	1872
301	808	1869
302	811	1866
303	813	1862
304	815	1859
305	818	1856
306	820	1853
307	823	1850
308	825	1846
309	828	1843
310	830	1839
311	832	1836
312	835	1833
313	837	1830
314	840	1827
315	842	1823
316	844	1820
317	847	1817
318	849	1814
319	852	1810
320	854	1807
321	857	1804
322	859	1801
323	861	1798
324	864	1794
325	866	1791
326	869	1788
327	871	1785
328	873	1782
329	876	1779
330	878	1776
331	881	1773
332	883	1769
333	886	1767
334	888	1763
335	890	1760
336	893	1757
337	895	1754
338	898	1751
339	900	1748
340	903	1745
341	905	1741
342	907	1738
343	910	1735
344	912	1732
345	915	1729
346	917	1726
347	919	1723
348	922	1720
349	924	1717
350	927	1714
351	929	1711
352	931	1707
353	934	1704
354	936	1701
355	938	1698
356	941	1695
357	943	1692
358	946	1689
359	948	1686
360	951	1683
361	953	1680
362	955	1677
363	958	1674
364	960	1671
365	963	1668
366	965	1665
367	968	1662
368	970	1659
369	972	1656
370	975	1653
371	977	1650
372	979	1647
373	982	1644
374	984	1641
375	986	1637
376	989	1634
377	991	1631
378	994	1629
379	996	1625
380	998	1622
381	1001	1619
382	1003	1616
383	1005	1613
384	1008	1610
385	1010	1607
386	1012	1604
387	1015	1601
388	1017	1598
389	1019	1595
390	1022	1592
391	1024	1589
392	1027	1586
393	1029	1583
394	1031	1580
395	1034	1577
396	1036	1574
397	1039	1571
398	1041	1568
399	1043	1565
400	1046	1562
401	1048	1559
402	1050	1556
403	1053	1554
404	1055	1551
405	1058	1548
406	1061	1546
407	1064	1545
408	1067	1542
409	1070	1541
410	1073	1538
411	1075	1535
412	1078	1532
413	1080	1529
414	1082	1526
415	1085	1523
416	1087	1520
417	1089	1517
418	1092	1514
419	1094	1511
420	1097	1508
421	1099	1506
422	1102	1503
423	1104	1500
424	1106	1497
425	1109	1494
426	1111	1491
427	1113	1488
428	1116	1485
429	1118	1483
430	1121	1480
431	1123	1477
432	1125	1474
433	1128	1471
434	1130	1468
435	1133	1466
436	1135	1463
437	1137	1460
438	1140	1457
439	1142	1454
440	1145	1451
441	1147	1448
442	1149	1445
443	1152	1442
444	1154	1440
445	1157	1437
446	1159	1434
447	1162	1431
448	1164	1429
449	1167	1426
450	1169	1423
451	1172	1420
452	1174	1418
453	1176	1415
454	1179	1412
455	1181	1409
456	1184	1406
457	1186	1404
458	1188	1401
459	1191	1398
460	1193	1395
461	1196	1392
462	1198	1389
463	1200	1387
464	1203	1384
465	1205	1381
466	1208	1379
467	1210	1376
468	1213	1373
469	1215	1370
470	1218	1368
471	1220	1365
472	1223	1362
473	1225	1359
474	1227	1356
475	1230	1354
476	1232	1351
477	1235	1348
478	1237	1346
479	1240	1343
480	1242	1340
481	1244	1337
482	1247	1334
483	1249	1332
484	1251	1329
485	1254	1326
486	1256	1324
487	1259	1321
488	1262	1318
489	1264	1316
490	1266	1313
491	1269	1310
492	1271	1307
493	1273	1304
494	1276	1302
495	1278	1299
496	1281	1296
497	1283	1293
498	1286	1291
499	1288	1288
500	1291	1285
501	1293	1283
502	1295	1280
503	1298	1277
504	1300	1274
505	1303	1272
506	1305	1269
507	1308	1266
508	1310	1264
509	1312	1261
510	1315	1258
511	1317	1255
512	1320	1253
513	1323	1251
514	1325	1248
515	1328	1245
516	1330	1243
517	1332	1240
518	1335	1237
519	1337	1234
520	1340	1232
521	1342	1229
522	1345	1226
523	1347	1224
524	1349	1221
525	1352	1218
526	1354	1215
527	1357	1213
528	1359	1210
529	1361	1207
530	1364	1205
531	1366	1202
532	1369	1199
533	1371	1196
534	1373	1194
535	1376	1191
536	1378	1188
537	1380	1185
538	1383	1183
539	1385	1180
540	1388	1177
541	1390	1175
542	1392	1172
543	1395	1169
544	1397	1166
545	1400	1164
546	1402	1161
547	1404	1158
548	1407	1155
549	1409	1153
550	1412	1150
551	1414	1147
552	1416	1145
553	1419	1142
554	1421	1139
555	1423	1137
556	1426	1134
557	1428	1131
558	1431	1129
559	1433	1126
560	1436	1123
561	1438	1121
562	1440	1118
563	1443	1115
564	1445	1112
565	1447	1110
566	1450	1107
567	1452	1105
568	1455	1102
569	1457	1099
570	1460	1096
571	1462	1094
572	1464	1091
573	1467	1088
574	1469	1086
575	1471	1083
576	1474	1080
577	1476	1077
578	1478	1075
579	1481	1072
580	1484	1070
581	1486	1067
582	1488	1064
583	1491	1062
584	1493	1059
585	1496	1057
586	1498	1054
587	1501	1051
588	1503	1049
589	1505	1046
590	1508	1043
591	1510	1041
592	1513	1038
593	1515	1035
594	1517	1033
595	1520	1030
596	1522	1027
597	1525	1025
598	1527	1022
599	1529	1019
600	1532	1017
601	1534	1014
602	1537	1011
603	1539	1009
604	1541	1006
605	1544	1004
606	1546	1001
607	1549	998
608	1551	996
609	1553	993
610	1556	990
611	1558	988
612	1561	985
613	1563	982
614	1565	980
615	1568	977
616	1570	974
617	1573	972
618	1575	969
619	1577	967
620	1580	964
621	1582	961
622	1585	959
623	1587	956
624	1589	953
625	1592	951
626	1594	948
627	1596	945
628	1599	943
629	1601	940
630	1604	938
631	1606	935
632	1608	932
633	1611	930
634	1613	927
635	1615	924
636	1618	922
637	1620	919
638	1622	916
639	1625	914
640	1627	911
641	1630	909
642	1632	906
643	1635	903
644	1637	901
645	1639	898
646	1642	896
647	1644	893
648	1647	890
649	1649	888
650	1651	885
651	1654	882
652	1656	880
653	1659	877
654	1661	875
655	1663	872
656	1666	869
657	1668	867
658	1670	864
659	1673	862
660	1675	859
661	1678	856
662	1680	854
663	1682	851
664	1685	849
665	1687	846
666	1690	843
667	1692	841
668	1694	838
669	1697	835
670	1699	833
671	1701	830
672	1704	828
673	1706	825
674	1709	823
675	1711	820
676	1714	817
677	1716	815
678	1719	812
679	1721	810
680	1724	807
681	1726	805
682	1729	802
683	1732	800
684	1734	797
685	1737	795
686	1739	792
687	1741	789
688	1744	787
689	1746	784
690	1748	782
691	1751	779
692	1753	776
693	1756	774
694	1758	771
695	1760	769
696	1763	766
697	1765	763
698	1768	761
699	1770	758
700	1772	756
701	1775	753
702	1777	751
703	1780	748
704	1782	745
705	1784	743
706	1787	740
707	1789	738
708	1792	735
709	1794	733
710	1797	730
711	1799	727
712	1802	725
713	1804	722
714	1807	720
715	1810	718
716	1812	715
717	1816	713
718	1818	710
719	1821	708
720	1823	705
721	1826	703
722	1828	700
723	1831	698
724	1833	695
725	1836	693
726	1838	690
727	1841	687
728	1843	685
729	1846	682
730	1848	680
731	1851	677
732	1853	675
733	1855	672
734	1858	669
735	1860	667
736	1862	664
737	1865	662
738	1867	659
739	1869	656
740	1872	654
741	1874	651
742	1877	649
743	1879	646
744	1881	644
745	1884	641
746	1886	639
747	1889	636
748	1891	633
749	1893	631
750	1896	628
751	1898	626
752	1901	623
753	1903	621
754	1905	618
755	1908	615
756	1910	613
757	1912	610
758	1915	608
759	1917	605
760	1919	602
761	1922	600
762	1924	597
763	1927	595
764	1929	592
765	1931	590
766	1934	587
767	1936	585
768	1939	582
769	1941	579
770	1944	577
771	1946	574
772	1949	572
773	1951	569
774	1953	567
775	1956	564
776	1958	562
777	1961	559
778	1963	557
779	1965	554
780	1968	551
781	1970	549
782	1972	546
783	1975	544
784	1977	541
785	1980	539
786	1982	536
787	1984	534
788	1987	531
789	1989	528
790	1991	526
791	1994	523
792	1996	521
793	1999	518
794	2001	516
795	2003	513
796	2006	510
797	2008	508
798	2010	505
799	2013	503
800	2015	500
801	2018	498
802	2020	495
803	2022	493
804	2025	490
805	2027	488
806	2030	485
807	2032	483
808	2035	480
809	2038	478
810	2040	475
811	2042	473
812	2045	470
813	2047	467
814	2050	465
815	2052	462
816	2055	460
817	2057	457
818	2059	455
819	2062	452
820	2064	450
821	2067	447
822	2069	445
823	2072	442
824	2074	440
825	2077	437
826	2079	435
827	2081	432
828	2084	429
829	2086	427
830	2089	424
831	2091	422
832	2094	419
833	2096	417
834	2098	414
835	2101	412
836	2103	409
837	2106	407
838	2108	404
839	2111	402
840	2113	399
841	2115	397
842	2118	394
843	2120	392
844	2123	389
845	2125	386
846	2127	384
847	2130	381
848	2132	379
849	2135	376
850	2137	374
851	2140	371
852	2142	369
853	2144	366
854	2147	364
855	2149	361
856	2152	359
857	2154	356
858	2157	354
859	2159	351
860	2162	349
861	2164	346
862	2166	343
863	2169	341
864	2171	338
865	2174	336
866	2176	333
867	2178	331
868	2181	328
869	2183	326
870	2185	323
871	2188	321
872	2190	318
873	2193	316
874	2195	313
875	2198	311
876	2200	308
877	2202	306
878	2205	303
879	2207	301
880	2210	298
881	2212	296
882	2214	293
883	2217	290
884	2219	288
885	2222	285
886	2224	283
887	2226	280
888	2229	278
889	2231	275
890	2234	273
891	2237	270
892	2239	268
893	2242	265
894	2244	263
895	2247	260
896	2249	258
897	2252	255
898	2254	253
899	2256	250
900	2259	248
901	2261	245
902	2264	243
903	2266	240
904	2268	238
905	2271	235
906	2273	233
907	2275	230
908	2278	228
909	2280	225
910	2283	223
911	2285	220
912	2287	217
913	2289	215
914	2292	212
915	2294	210
916	2296	207
917	2299	205
918	2301	202
919	2304	200
920	2306	197
921	2309	195
922	2311	192
923	2313	190
924	2316	187
925	2318	185
926	2320	182
927	2323	180
928	2325	177
929	2327	175
930	2330	172
931	2332	170
932	2335	167
933	2337	165
934	2339	162
935	2342	160
936	2344	157
937	2346	155
938	2349	152
939	2351	150
940	2354	147
941	2356	145
942	2358	142
943	2361	140
944	2364	137
945	2366	135
946	2368	132
947	2371	130
948	2373	127
949	2375	125
950	2378	122
951	2380	120
952	2382	117
953	2384	114
954	2387	112
955	2389	109
956	2392	107
957	2394	104
958	2397	102
959	2399	99
960	2401	97
961	2404	94
962	2406	92
963	2409	89
964	2411	87
965	2414	84
966	2416	82
967	2418	79
968	2421	77
969	2423	74
970	2426	72
971	2428	69
972	2431	67
973	2433	64
974	2436	62
975	2438	59
976	2440	57
977	2443	54
978	2445	52
979	2447	49
980	2450	47
981	2452	44
982	2454	42
983	2457	39
984	2459	37
985	2462	34
986	2464	32
987	2466	29
988	2469	27
989	2471	24
990	2474	22
991	2476	19
992	2478	17
993	2481	14
994	2483	12
995	2485	9
996	2488	7
997	2490	4
998	2493	2
999	2495	0
