кол-во потоков,static-1,static-300,static-500,static-1000,dynamic-1,dynamic-300,dynamic-500,dynamic-1000,guided-1,guided-300,guided-500,guided-1000,
1,943997.329000,941619.458000,933009.010000,935714.624000,947235.694000,1018775.895000,941211.527000,934491.786000,928431.180000,930350.803000,939175.468000,933527.518000,
2,556883.242000,585580.555000,551201.004000,551367.547000,539767.250000,542441.363000,546368.099000,551396.991000,537880.839000,547870.805000,542690.706000,537896.979000,
3,474569.165000,482455.330000,425941.136000,448569.745000,379414.413000,407430.245000,385210.459000,384396.472000,381307.506000,377561.206000,377846.536000,400788.936000,
4,364320.205000,388388.446000,379938.252000,372029.354000,325704.988000,335432.735000,337277.735000,339921.107000,334595.715000,310241.885000,359245.937000,337267.474000,
5,358260.152000,331405.953000,304877.980000,332472.762000,299494.574000,301334.643000,294341.597000,311027.105000,290857.779000,305760.605000,286320.199000,302238.308000,
6,326023.629000,325531.317000,317804.536000,341478.918000,283597.716000,285457.597000,273563.471000,282175.928000,273664.244000,273897.496000,287556.816000,283028.115000,
7,329565.530000,310104.447000,310490.148000,323944.852000,265908.558000,276363.141000,287347.471000,270358.420000,266298.858000,262923.814000,265629.103000,281908.191000,
8,315680.090000,307871.480000,295888.200000,328616.199000,254690.574000,277953.405000,269765.776000,276084.599000,264126.685000,271058.908000,278303.009000,282440.303000,
9,333103.421000,324363.275000,330459.616000,348269.265000,292457.519000,285685.156000,303587.920000,272855.222000,320570.663000,303808.782000,305519.025000,299193.407000,
10,348078.367000,351295.707000,332015.388000,332758.778000,347857.984000,328540.558000,281593.439000,331742.084000,321445.720000,299759.218000,279081.665000,297160.189000,
11,337100.052000,323992.598000,313975.503000,299903.565000,275751.546000,273730.782000,290543.762000,282893.221000,290535.313000,270557.798000,305385.821000,302878.549000,
12,312106.594000,313770.666000,297428.369000,340706.383000,271928.102000,283044.551000,278124.201000,279283.390000,278027.556000,291326.859000,276042.305000,273755.409000,
