1_thr,2_thr,3_thr,4_thr,5_thr,6_thr,7_thr,8_thr,
0.010999,0.006256,0.009503,0.008797,0.006975,0.008220,0.009708,0.008082,
0.027837,0.033247,0.037173,0.033566,0.034767,0.029567,0.034393,0.033323,
0.067839,0.067423,0.081091,0.069698,0.068691,0.076934,0.074357,0.074893,
0.125340,0.122401,0.135103,0.130141,0.126914,0.118139,0.135985,0.132866,
0.184380,0.244810,0.211691,0.189258,0.195493,0.189543,0.191080,0.206331,
0.283564,0.288257,0.299268,0.297972,0.299749,0.272489,0.284124,0.299467,
0.744072,0.357664,0.413404,0.373393,0.419862,0.375095,0.379816,0.394179,
0.512745,0.508125,0.536844,0.499755,0.493698,0.492797,0.496131,0.519636,
1.197192,0.679691,0.685335,0.628522,0.709149,0.619080,0.614403,0.687105,
1.026802,0.852022,0.790196,0.785018,0.778978,0.805996,0.976403,0.827909,
