1_thr,2_thr,3_thr,4_thr,5_thr,6_thr,7_thr,8_thr,
0.010247,0.004976,0.004957,0.002921,0.002743,0.025040,0.026804,0.009488,
0.022395,0.020225,0.019314,0.020509,0.017486,0.015396,0.016001,0.057579,
0.049563,0.046142,0.037260,0.039439,0.033858,0.033282,0.047676,0.070808,
0.083934,0.075655,0.061588,0.065601,0.062270,0.057952,0.079777,0.074663,
0.130423,0.107826,0.100325,0.098254,0.096395,0.091059,0.183466,0.092856,
0.205908,0.152426,0.149396,0.133154,0.130903,0.133869,0.136331,0.129629,
0.267912,0.195855,0.205076,0.199684,0.173006,0.223559,0.218362,0.236910,
0.560093,0.279481,0.249532,0.246386,0.224064,0.281323,0.272132,0.272605,
0.544974,0.340088,0.300420,0.293808,0.291302,0.312068,0.315166,0.313885,
0.667064,0.455141,0.370982,0.376418,0.404199,0.479966,0.402208,0.363963,
